ticker,shortName,sector,industry,recommendationMean,numberOfAnalystOpinions,overallRisk,beta,previousClose,trailingEps,forwardEps,trailingPE,forwardPE,pegRatio,bookValue,priceToBook,enterpriseToRevenue,enterpriseToEbitda,ebitdaMargins,profitMargins,earningsGrowth,revenueGrowth,dividendYield,payoutRatio,fiveYearAvgDividendYield,enterpriseValue,freeCashflow,debtToEquity,returnOnAssets,returnOnEquity,quickRatio,currentRatio
AGS.BR,AGEAS,Financial Services,Insurance—Diversified,2.7,14,2,0.766086,36.9,5.48,6.28,6.718978,5.863057,0.8,41.284,0.8918709,1.257,6.787,0.18528,0.102469996,0.119,-0.023,0.0806,0.77550006,6.48,12405906432,1326125056,73.332,0.00842,0.107259996,0.182,0.576
AIBG.IR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIR.PA,AIRBUS SE,Industrials,Aerospace & Defense,2.1,22,1,1.654049,127.58,4.43,6.79,28.36569,18.506628,1.35,19.158,6.5591397,1.579,13.739,0.11494,0.06284,0.54,0.241,0.0139999995,0.3673,,97302233088,-2039000064,82.799,0.02586,0.31379998,0.507,1.2
AF.PA,AIR FRANCE -KLM,Industrials,Airlines,2.5,17,6,1.724072,1.4105,1.12,0.4,1.2334821,3.45375,0.1,-1.486,,0.354,3.555,0.09951,0.04165,-0.267,0.137,,0.0,,10326037504,2828800000,,0.026349999,,0.541,0.676
AI.PA,AIR LIQUIDE,Basic Materials,Specialty Chemicals,2.1,23,2,0.638909,160.7,5.28,7.09,30.242422,22.52186,2.7,44.524,3.5863802,3.264,13.838,0.23583001,0.10689,0.317,-0.016,0.0183,0.48599997,2.02,96952696832,2002700032,56.258,0.06081,0.13733,0.483,0.782
AKRBP.OL,AKER BP,Energy,Oil & Gas E&P,2.3,18,9,1.489023,287.5,21.45,3.68,13.179487,76.820656,-0.33,19.494,14.501899,12.109,13.288,0.91129994,0.095410004,0.098,0.624,0.0793,1.0105001,5.84,185205850112,6128300544,50.781,0.18996,0.119729996,0.815,0.888
AKZA.AS,AKZO NOBEL,Basic Materials,Specialty Chemicals,2.5,19,2,1.006813,74.62,1.76,4.84,41.761364,15.18595,0.71,24.029,3.058804,1.617,17.123,0.09442,0.027980002,0.15,-0.039,0.026600001,1.1151,2.53,17567780864,533500000,137.755,0.030480001,0.07024,0.823,1.132
ALC.SW,ALCON N,Healthcare,Medical Instruments & Supplies,2.0,16,2,0.685521,72.22,0.6,2.76,119.33333,25.942028,2.35,40.436,1.7706993,4.361,20.658,0.21112,0.03985,0.133,0.092,0.0029,0.3174,,39622754304,401875008,25.613,0.01888,0.018339999,1.153,2.161
ALFA.ST,Alfa Laval AB,Industrials,Specialty Industrial Machinery,2.8,18,2,1.164647,370.6,12.79,19.5,28.631744,18.779488,0.94,84.645,4.3263044,2.836,16.77,0.16909,0.09139,0.321,0.34,0.015800001,0.45490003,,169170731008,2482500096,54.283,0.0659,0.16328,0.699,1.194
ALV.F,ALLIANZ SE,Financial Services,Insurance—Diversified,,23,5,1.135124,220.55,20.16,19.11,10.912699,11.512297,,136.369,1.6132698,-0.107,-0.529,0.20134,0.06893,0.211,0.747,0.0515,0.5194,4.88,-13375998976,-55058874368,4.707,0.01487,0.15371001,1.908,2.578
ALO.PA,ALSTOM,Industrials,Railroads,2.2,20,3,1.028009,25.17,-0.34,2.07,,11.961353,1.53,23.648,1.0470229,0.76,13.397,0.056760002,-0.008,,0.054,0.0097,,,12553013248,417249984,40.628,0.00533,-0.011469999,0.51,0.825
ATE.PA,ALTEN,Technology,Information Technology Services,1.6,10,5,1.407267,127.0,13.32,9.85,9.429429,12.751268,1.06,53.913,2.3296793,1.099,10.211,0.10762999,0.120950006,1.674,0.279,0.0117999995,0.098400004,,4157611776,207737872,22.954,0.081149995,0.28072,1.588,1.611
AMS.MC,"AMADEUS IT GROUP, S.A.",Consumer Cyclical,Travel Services,2.4,23,1,1.193035,62.06,1.88,2.43,32.585106,25.209875,0.08,10.538,5.813247,6.032,17.017,0.35446998,0.17912,0.275,0.168,0.0116,0.0,,30631927808,952212480,77.143,0.065560006,0.20236999,0.818,0.939
AMBU B.CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMS.SW,ams-OSRAM,Technology,Semiconductors,3.1,12,1,2.18168,5.84,-2.18,0.51,,11.235294,2.67,4.787,1.1969918,0.9,-4.94,-0.1821,-0.47817,,-0.281,,0.0,,3749250560,-583875008,244.789,-0.10176,-0.82809997,0.566,0.898
AMUN.PA,AMUNDI,Financial Services,Asset Management,2.0,17,3,1.266464,52.4,5.28,6.28,9.753787,8.200637,1.57,54.444,0.9459261,1.82,7.886,0.23077999,0.1902,0.351,-0.62,0.0763,0.7765,,10886763520,,,,,,
ANDR.VI,Andritz AG,Industrials,Industrial Distribution,1.8,9,6,1.078349,45.2,4.46,4.19,10.282512,10.945107,1.68,18.973,2.4171193,0.495,5.172,0.09568,0.05625,0.268,0.2,0.0461,0.4449,,4127776512,-67751504,65.281,0.04759,0.26023,0.841,1.134
AAL.LN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABI.BR,AB INBEV,Consumer Defensive,Beverages—Brewers,2.1,30,8,1.150643,51.0,3.27,3.31,15.56575,15.377645,1.98,38.988,1.30553,3.161,10.684,0.29584,0.10583,-0.792,0.022,0.0148,0.2745,2.12,186769489920,6994250240,91.292,0.04191,0.09069,0.413,0.636
ANTO.LN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAERSK B.CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT.AS,ARCELORMITTAL SA,Basic Materials,Steel,2.2,13,3,1.937547,24.09,6.47,4.48,3.6429677,5.261161,-0.35,66.393,0.35500732,0.371,3.272,0.11326,0.057690002,-0.482,-0.16,0.0166,0.0429,,27041380352,5726374912,18.063,0.038340002,0.07571,0.503,1.633
ARGX.BR,ARGENX SE,Healthcare,Biotechnology,1.9,14,5,0.472747,456.6,-8.03,-1.38,,-327.10144,,51.077,8.837637,28.211,-54.768,-0.5151,-0.47518003,,2.299,,0.0,,23563575296,-458398112,0.393,-0.10293999,-0.1362,7.4,8.469
AKE.PA,ARKEMA,Basic Materials,Specialty Chemicals,2.2,16,3,1.305071,96.34,10.08,10.55,9.400794,8.981991,-1.74,86.271,1.0983992,0.878,6.433,0.13643,0.049689997,-0.633,-0.233,0.035099998,0.5067,2.79,9166713856,774875008,50.355,0.03809,0.07172,1.555,2.195
AT1.SG,Aroundtown S.A.,,,,,,,1.401,,,,,,,,,,,,,,,,,,,,,,,
AHT.LN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASM.AS,ASM International N.V.,Technology,Semiconductor Equipment & Materials,2.3,19,1,1.390991,420.6,12.67,13.79,33.11365,30.42422,4.18,61.806,6.7881756,7.465,25.003,0.29856002,0.22764,-0.069,0.196,0.0058,0.2008,1.1,20257886208,283919008,0.68,0.12364,0.22132999,1.378,2.256
ASML.AS,ASML HOLDING,Technology,Semiconductor Equipment & Materials,2.2,31,1,1.140423,592.7,18.77,22.13,31.662226,26.854948,1.31,33.191,17.905455,8.988,26.159,0.34359002,0.27402002,0.126,0.271,0.0098,0.3095,0.9,232407875584,5139137536,42.781,0.14466,0.68437,0.761,1.316
ASRNL.AS,ASR NEDERLAND,Financial Services,Insurance—Diversified,1.8,13,1,0.903482,41.31,4.42,5.95,9.233032,6.858824,0.91,45.469,0.8975346,0.727,3.164,0.22969,0.13061,-0.431,-0.279,0.0647,0.5837,5.43,4078752256,-272249984,147.342,0.011109999,0.10257,0.956,1.055
ASSA B.ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.MI,GENERALI ASS,Financial Services,Insurance—Diversified,2.7,21,1,1.039364,18.465,1.84,2.32,9.951086,7.8922415,0.8,17.318,1.0572814,0.728,6.887,0.10578,0.0537,1.693,0.181,0.0625,0.4345,6.06,58206158848,-25433849856,120.572,0.00947,0.18099001,0.676,1.463
ABF.LN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZN.LN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL.MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATCO A.ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATO.PA,ATOS,Technology,Information Technology Services,3.5,11,2,1.578349,6.704,-9.13,2.94,,2.3183672,0.06,28.017,0.24328086,0.364,5.283,0.068959996,-0.09792,,-0.003,,0.0,,4126011392,670750016,193.237,0.01426,-0.28937,0.758,0.967
NDA.F,AURUBIS AG,Industrials,Metal Fabrication,2.2,12,3,1.572293,73.6,8.42,8.09,8.631829,8.983931,-2.56,98.417,0.7384903,0.187,6.936,0.026989998,0.01698,-0.949,-0.167,0.024400001,0.1112,2.42,3225923328,-264079120,5.562,0.02256,0.07023,0.543,2.509
AUTO.LN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVV.LN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV..LN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS.PA,AXA,Financial Services,Insurance—Diversified,1.8,19,2,1.329295,27.465,2.83,3.65,9.54947,7.4041095,1.11,20.644,1.3090972,0.565,,0.0,0.06525,0.03,-0.039,0.062,0.5442,,57612169216,-875374976,105.015,0.00838,0.11658,2.686,4.326
BA..LN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBY.LN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALN.SW,BALOISE N,Financial Services,Insurance—Diversified,2.7,6,2,0.915972,134.8,12.12,14.58,11.023103,9.163238,1.06,100.311,1.331858,1.184,-8.189,-0.14462,0.09033,-0.09,-0.161,0.0546,0.5776,4.25,7184588288,-1159037440,114.674,-0.0066500003,0.09187999,0.497,0.686
BBVA.MC,BANCO BILBAO VIZCAYA ARGENTARIA,Financial Services,Banks—Diversified,2.3,24,1,1.570779,7.078,1.09,0.94,6.4422016,7.4702125,0.26,7.966,0.8814963,1.29,,0.0,0.28946,0.397,0.15,0.060599998,0.3675,5.31,32723212288,,,0.01069,0.15582,,
BAMI.MI,BANCO BPM,Financial Services,Banks—Regional,1.7,15,1,1.132475,4.376,0.46,0.82,9.441304,5.2963414,0.29,11.387,0.38139984,3.962,,0.0,0.23582001,,0.382,0.0525,0.35939997,,16397457408,,,0.00479,0.07443,,
BCP.LS,B.C.P.-BCO COMERCIAL PORTUGUES,Financial Services,Banks—Regional,2.4,10,4,1.783875,0.2484,0.02,0.04,12.31,6.155,0.44,0.376,0.65478724,2.709,,0.0,0.1822,,0.61,,0.0,,8453224960,,,0.00592,0.08597,,
SAB.MC,BANCO DE SABADELL,Financial Services,Banks—Diversified,2.3,19,1,1.15632,1.097,0.15,0.13,7.31,8.434616,0.22,2.416,0.45384938,9.57,,0.0,0.22305,0.322,0.221,0.0642,0.22770001,,43565289472,,,0.00405,0.076230004,,
SAN.MC,BANCO SANTANDER S.A.,Financial Services,Banks—Diversified,2.1,22,1,1.356169,3.557,0.55,0.52,6.422727,6.7932696,0.46,5.78,0.61115915,0.679,,0.0,0.23188,0.293,0.118,0.0335,0.2042,,29125769216,,,0.0063,0.11059,,
BKT.MC,"BANKINTER, S.A.",Financial Services,Banks—Regional,2.3,19,3,0.865253,6.028,0.64,0.67,9.28125,8.865671,0.69,5.672,1.0472497,-1.091,,0.0,0.33701,1.056,0.267,0.0616,0.4317,4.53,-2288826880,,,0.00638,0.14267999,,
BIRG.IR,BANK OF IRELAND GROUP PLC,Financial Services,Banks—Regional,,1,7,1.30545,9.388,0.77,1.01,12.109092,9.231684,3.5,11.427,0.8159622,-3.727,,0.0,0.38262,2.106,0.564,0.0219,0.1656,,-14114780160,,,0.009330001,0.12052,,
PEO.WA,PEKAO,Financial Services,Banks—Regional,2.1,13,,0.936696,105.6,8.7,17.11,12.08046,6.1426063,0.32,98.885,1.0628507,3.809,,0.0,0.17950001,2.624,0.316,0.0506,0.73300004,,32367611904,,,0.0058,0.066479996,,
BARC.LN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDEV.LN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARN.SW,BARRY CALLEBAUT N,Consumer Defensive,Confectioners,2.1,11,8,0.261544,1558.0,67.59,71.81,22.991568,21.64044,,528.061,2.942842,1.24,12.387,0.1001,0.04504,0.047,0.037,0.0178,0.0,1.24,10220068864,189452000,76.302,0.053319998,0.13239999,0.501,1.487
BAS.F,BASF SE,Basic Materials,Chemicals,2.8,23,3,1.31302,45.635,-0.29,4.67,,9.6884365,-1.29,42.568,1.0628875,0.793,7.511,0.10559,-0.02389,-0.758,-0.247,0.074200004,,5.87,62314250240,2938749952,58.341,0.03424,-0.04042,1.102,1.905
BAYN.F,BAYER AG,Healthcare,Drug Manufacturers—General,,,6,1.165026,51.39,3.09,7.0,16.220064,7.16,,37.609,1.3326597,1.838,8.042,0.22858,0.029719999,,-0.138,0.047199998,0.6472,4.29,89549561856,624249984,125.302,0.03793,0.038599998,0.777,1.205
BMW.SG,Bayerische Motoren Werke AG,,,,,,,98.65,,,,,,,,,,,,,,,,,,,,,,,
BION.SW,BB BIOTECH N,,,,,,,41.15,,,,38.301888,,,,,,,,,,,,,,,,,,,
BEZ.LN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC8.F,BECHTLE AG,Technology,Information Technology Services,2.2,17,8,0.931112,44.12,2.02,2.29,21.886139,19.305677,2.42,12.551,3.5224285,0.95,13.976,0.06798,0.04099,0.037,0.065,0.0149,0.3186,1.03,5966495744,282670240,38.532,0.07119,0.17285,1.053,1.639
BEI.F,BEIERSDORF AG O.N.,Consumer Defensive,Household & Personal Products,2.4,25,8,0.260408,120.25,3.33,3.55,35.870872,33.64789,2.9,36.078,3.310882,2.721,15.872,0.1714,0.09072,0.174,0.103,0.0058,0.1887,0.71,25189140480,63375000,,0.068569995,0.10752,1.137,1.604
BWY.LN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BKG.LN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BB.PA,BIC,Consumer Defensive,Household & Personal Products,1.9,7,3,0.277819,57.25,4.69,5.88,11.972281,9.54932,-4.03,42.687,1.3153888,1.007,6.232,0.16149999,0.0837,0.011,0.044,0.0448,0.4584,4.51,2298607104,113557128,11.101,0.06245,0.10444,1.323,2.254
BIM.PA,BIOMERIEUX,Healthcare,Diagnostics & Research,2.0,13,8,0.167297,91.66,3.82,4.3,24.089005,21.399998,2.06,30.544,3.0127027,3.009,13.268,0.22680001,0.12605,-0.308,0.072,0.0091,0.2225,0.53,10800230400,167762496,13.873,0.07825,0.12946,1.246,1.96
BME.LN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNP.PA,BNP PARIBAS ACT.A,Financial Services,Banks—Regional,2.0,24,3,1.693792,58.62,7.29,9.47,7.9341564,6.1077085,0.63,91.788,0.6301477,-11.249,,0.0,0.27763999,-0.101,0.029,0.066700004,0.5556,,-506785693696,,,0.00349,0.07798,,
BOL.ST,Boliden AB,Basic Materials,Other Industrial Metals & Mining,3.0,18,1,1.273656,287.5,30.51,27.96,9.295313,10.143062,-1.18,201.791,1.4054146,1.071,5.199,0.20598,0.10245,-0.835,-0.145,0.0533,0.4916,3.1,87238688768,-3230000128,25.131,0.07224,0.15602,0.509,1.91
BOL.PA,BOLLORE SE,Communication Services,Entertainment,2.2,4,9,0.736184,5.25,0.06,0.27,89.08333,19.796295,,7.935,0.673598,0.75,9.865,0.076069996,0.14384,,-0.459,0.0113,1.0,1.49,15400552448,,,,,,
EN.PA,BOUYGUES,Industrials,Engineering & Construction,2.5,11,4,0.950037,31.19,2.62,3.7,11.820611,8.37027,0.6,31.362,0.9875008,0.515,6.088,0.08457,0.02021,0.333,0.367,0.0574,0.64980006,,26768084992,2415749888,114.545,0.02474,0.089729995,0.824,0.953
BP..LN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNR.F,BRENNTAG SE NA O.N.,Basic Materials,Specialty Chemicals,2.1,23,1,1.018168,71.62,5.53,2.94,12.911392,24.285715,2.73,28.093,2.5415585,0.712,9.376,0.07591,0.040430002,-0.341,-0.159,0.0277,0.2622,2.26,13251582976,1202662528,68.228,0.06741,0.17052001,1.087,1.561
BATS.LN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLND.LN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BVIC.LN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BT.A.LN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUCN.SW,BUCHER N,Industrials,Specialty Industrial Machinery,2.3,8,6,0.972747,355.4,32.37,28.42,10.89898,12.413793,-3.71,168.231,2.0971165,0.934,6.361,0.14681,0.100109994,0.293,0.091,0.0358,0.3538,2.3,3509394432,84275000,8.021,0.103149995,0.22928,1.115,2.193
BNZL.LN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRBY.LN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BVI.PA,BUREAU VERITAS,Industrials,Consulting Services,2.7,17,6,0.920893,24.49,1.04,1.32,23.365385,18.40909,2.71,3.743,6.4921184,2.129,12.304,0.173,0.08087,0.041,0.078,0.0308,0.7404,,12476391424,698162496,171.637,0.072340004,0.27644,1.421,1.428
CABK.MC,"CAIXABANK, S.A.",Financial Services,Banks—Regional,2.3,20,1,0.897804,3.796,0.39,0.41,9.717949,9.243902,0.53,4.538,0.8351697,6.095,,0.0,0.30347002,,,0.0612,0.5083,4.01,74494263296,,,0.00558,0.10767999,,
CAP.PA,CAPGEMINI,Technology,Information Technology Services,1.8,19,2,1.108251,158.1,8.8,12.59,18.056818,12.621127,1.37,58.524,2.7151253,1.404,10.397,0.13505,0.0743,0.201,0.069,0.0202,0.3403,1.4,31919886336,1436625024,78.502,0.06639,0.17801,1.196,1.363
CPI.LN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARL A.CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFX.F,CARL ZEISS MEDITEC AG,Healthcare,Medical Instruments & Supplies,2.6,14,8,0.792202,90.62,3.11,3.33,28.546625,26.660662,4.04,21.84,4.065018,3.972,21.117,0.18808001,0.14807001,0.473,0.121,0.012,0.3198,,8259333632,,7.924,,,,
CCL.LN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA.PA,CARREFOUR,Consumer Defensive,Grocery Stores,2.1,18,7,0.528387,18.265,1.83,2.09,9.90164,8.669857,0.58,15.824,1.1450961,0.355,8.293,0.042779997,0.022820001,2.494,0.078,0.031,0.2842,2.71,30477864960,508875008,146.976,0.02676,0.10599,0.531,0.878
CO.PA,CASINO GUICHARD,Consumer Defensive,Grocery Stores,4.2,5,8,0.859954,3.076,-3.34,2.35,,1.3753192,,-2.448,,0.354,5.707,0.062030002,-0.06847,,-0.05,,0.0,,11829964800,-854124992,465.002,0.01546,-0.65705,0.214,0.502
CAST.ST,Castellum AB,Real Estate,Real Estate—Development,2.3,12,6,1.003028,113.95,-22.13,8.67,,12.773933,6.0,172.403,0.6423902,11.781,17.845,0.66018,-0.85915,-0.874,-0.185,0.0545,,3.48,123451260928,2136000000,79.479,0.02358,-0.10609999,0.486,1.088
CDR.WA,CDPROJEKT,Communication Services,Electronic Gaming & Multimedia,3.6,16,,0.33243,149.4,3.45,2.46,44.376812,62.235775,27.27,21.079,7.263153,16.262,36.066,0.45088002,0.38175,0.015,-0.191,0.0064,0.2899,,14817399808,47839752,1.296,0.10880999,0.1711,6.25,6.477
CLNX.MC,"CELLNEX TELECOM, S.A.",Real Estate,Real Estate Services,1.7,23,1,0.520439,34.24,-0.43,-0.17,,-201.41177,-5.01,20.117,1.702043,13.245,21.143,0.62646997,-0.0904,,0.183,0.00090000004,,0.18,46912221184,27692250,142.683,0.00398,-0.02308,0.493,0.521
CMBN.SW,CEMBRA MONEY BANK N,Financial Services,Banks—Regional,2.7,3,1,0.425813,64.1,5.23,5.89,12.170173,10.806452,3.98,40.177,1.5842398,9.507,,0.0,0.33359,-0.172,-0.03,0.061,0.7553,4.52,4381840384,,,0.02052,0.13061,,
CNA.LN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LISN.SW,LINDT N,Consumer Defensive,Confectioners,3.1,9,10,0.284254,103400.0,2389.2,2823.05,43.026955,36.414516,4.76,18698.744,5.4976954,4.915,25.233,0.19478,0.12482,0.496,0.047,0.0125,0.50270003,1.18,25033472000,291712512,32.656,0.06723,0.14536001,0.862,1.837
CHR.CO,Chr. Hansen Holding A/S,Basic Materials,Specialty Chemicals,3.0,10,1,0.241862,458.1,13.26,2.18,34.14027,207.66055,3.13,14.143,32.00877,47.629,143.106,0.33282003,0.17473,0.0,0.052,0.0149,0.544,,62394400768,140012496,56.768,0.0664,0.12798999,0.94,1.67
CDI.PA,CHRISTIAN DIOR,Consumer Cyclical,Luxury Goods,,,10,1.056396,739.0,32.1,,22.570095,,,111.396,6.5038238,2.338,8.162,0.28647,0.07829,0.31,0.15,0.0166,0.32689998,1.33,198042419200,7549250048,67.317,0.10589,0.31056,0.515,1.229
CINE.LN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLN.SW,CLARIANT N,Basic Materials,Specialty Chemicals,2.6,17,2,0.941332,13.66,-0.41,1.15,,11.695652,0.94,7.206,1.8665001,1.134,7.728,0.14678,-0.01545,-0.431,-0.109,0.0306,,,5579745792,204250000,48.587,0.051570002,-0.022,0.724,1.526
CBG.LN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNHI.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNP.PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EEE.AT,COCA-COLA HBC AG,Consumer Defensive,Beverages—Non-Alcoholic,3.0,,10,0.939439,26.95,1.13,,23.539824,,,8.177,3.2530267,1.229,10.242,0.11995,0.06476,1.513,0.193,0.0292,0.4432,2.42,12297555968,-661049984,108.307,0.06077,0.20273,0.751,1.213
COFB.BR,COFINIMMO,Real Estate,REIT—Diversified,2.5,14,2,0.600681,68.85,10.04,6.9,6.7031875,9.753624,2.48,104.804,0.64215106,14.094,21.725,0.64871,0.48993,-0.944,0.069,0.088599995,1.1231999,5.11,5335501824,102660752,84.864,0.02293,0.052800003,0.094,0.215
