"Symbol","Description","Local Symbol","IPO Date","Category1","Category2","Category3","GICS Sector","ISIN","SEDOL","Market Cap","Currency","Actions"
"LN:AVST","Avast Plc","AVST","05/10/2018","Global Equity","Common stocks","Developed markets ex-US","Information Technology","GB00BDD85M81","BDD85M8","5,083,024,384","GBP","Analyze"
"LN:MRO","Melrose Industries PLC","MRO","05/13/2013","Global Equity","Common stocks","Developed markets ex-US","Industrials","GB00BZ1G4322","BZ1G432","5,072,018,432","GBP","Analyze"
"LN:WISE","Wise Plc","WISE","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Communication Services","GB00BL9YR756","","5,023,461,376","GBP","Analyze"
"LN:BDEV","Barratt Developments PLC","BDEV","01/03/1986","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","GB0000811801","0081180","4,999,296,000","GBP","Analyze"
"LN:KGF","Kingfisher plc","KGF","01/02/1986","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","GB0033195214","3319521","4,944,948,224","GBP","Analyze"
"LN:ECM","Electrocomponents plc","ECM","01/02/1986","Global Equity","Common stocks","Developed markets ex-US","Industrials","GB0003096442","0309644","4,931,631,616","GBP","Analyze"
"LN:PSH","Pershing Square Holdings, Ltd","PSH","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Communication Services","GG00BPFJTF46","","4,900,740,096","GBP","Analyze"
"LN:BLND","British Land Company Plc","BLND","01/02/1986","Global Equity","REITs","Developed markets ex-US","Real Estate","GB0001367019","0136701","4,873,382,400","GBP","Analyze"
"LN:RMV","Rightmove plc","RMV","03/10/2006","Global Equity","Common stocks","Developed markets ex-US","Communication Services","GB00BGDT3G23","BGDT3G2","4,688,885,760","GBP","Analyze"
"LN:BKG","The Berkeley Group Holdings plc","BKG","01/06/1986","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","GB00B02L3W35","B02L3W3","4,647,999,488","GBP","Analyze"
"LN:TW","Taylor Wimpey plc","TW","01/04/2000","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","GB0008782301","0878230","4,605,021,696","GBP","Analyze"
"LN:CTEC","Convatec Group Plc","CTEC","10/26/2016","Global Equity","Common stocks","Developed markets ex-US","Health Care","GB00BD3VFW73","BD3VFW7","4,434,702,336","GBP","Analyze"
"LN:JMAT","Johnson Matthey Plc","JMAT","01/07/1986","Global Equity","Common stocks","Developed markets ex-US","Materials","GB00BZ4BQC70","BZ4BQC7","4,331,761,664","GBP","Analyze"
"LN:RS1","RS GROUP PLC","RS1","07/01/1993","Global Equity","Comon stocks","Developed markets ex-US","Industrials","","","4,281,617,408","GBP","Analyze"
"LN:PPB","Paddy Power Betfair plc","PPB","12/07/2000","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","IE00BWT6H894","BWXC0Z1","4,280,799,488","GBP","Analyze"
"LN:BME","B&M European Value Retail S.A","BME","06/16/2014","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","LU1072616219","BMTRW10","4,209,170,944","GBP","Analyze"
"LN:UTG","The Unite Group plc","UTG","09/27/1999","Global Equity","REITs","Developed markets ex-US","Real Estate","GB0006928617","0692861","4,152,834,560","GBP","Analyze"
"LN:SMDS","DS Smith Plc","SMDS","01/02/1986","Global Equity","Common stocks","Developed markets ex-US","Materials","GB0008220112","0822011","4,104,369,152","GBP","Analyze"
"LN:HBR","Harbour Energy Plc","HBR","01/06/1986","Global Equity","Common stocks","Developed markets ex-US","Energy","GB00BLGYGY88","BLGYGY8","4,102,887,424","GBP","Analyze"
"LN:ICP","Intermediate Capital Group plc","ICP","06/24/1994","Global Equity","Common stocks","Developed markets ex-US","Financials","GB00BYT1DJ19","BYT1DJ1","4,056,105,984","GBP","Analyze"
"LN:ABDN","Abrdn PLC","ABDN","07/10/2006","Global Equity","Comon stocks","Developed markets ex-US","Financials","GB00BF8Q6K64","","4,045,254,400","GBP","Analyze"
"LN:KAZ","KAZ Minerals PLC","KAZ","10/07/2005","Global Equity","Common stocks","Developed markets ex-US","Materials","GB00B0HZPV38","B0HZPV3","4,018,232,064","GBP","Analyze"
"LN:HL","Hargreaves Lansdown plc","HL","05/15/2007","Global Equity","Common stocks","Developed markets ex-US","Financials","GB00B1VZ0M25","B1VZ0M2","4,008,944,384","GBP","Analyze"
"LN:COB","Cobham plc","COB","01/03/1986","Global Equity","Common stocks","Developed markets ex-US","Industrials","GB00B07KD360","B07KD36","3,964,005,888","GBP","Analyze"
"LN:EZJ","easyJet plc","EZJ","11/15/2000","Global Equity","Common stocks","Developed markets ex-US","Industrials","GB00B7KR2P84","B7KR2P8","3,921,892,096","GBP","Analyze"
"LN:HIK","Hikma Pharmaceuticals PLC","HIK","11/01/2005","Global Equity","Common stocks","Developed markets ex-US","Health Care","GB00B0LCW083","B0LCW08","3,904,785,920","GBP","Analyze"
"LN:HSV","HomeServe plc","HSV","11/26/1991","Global Equity","Common stocks","Developed markets ex-US","Industrials","GB00BYYTFB60","BYYTFB6","3,901,381,376","GBP","Analyze"
"LN:WEIR","The Weir Group PLC","WEIR","01/02/1986","Global Equity","Common stocks","Developed markets ex-US","Industrials","GB0009465807","0946580","3,865,622,528","GBP","Analyze"
"LN:GFS","G4S plc","GFS","06/10/1996","Global Equity","Common stocks","Developed markets ex-US","Industrials","GB00B01FLG62","B01FLG6","3,825,660,928","GBP","Analyze"
"LN:BBOX","Tritax Big Box REIT plc","BBOX","12/16/2013","Global Equity","REITs","Developed markets ex-US","Real Estate","GB00BG49KP99","BG49KP9","3,797,462,528","GBP","Analyze"
"LN:DPH","Dechra Pharmaceuticals PLC","DPH","09/21/2000","Global Equity","Common stocks","Developed markets ex-US","Health Care","GB0009633180","0963318","3,739,385,856","GBP","Analyze"
"LN:JET","Just Eat Takeaway.com N.V.","JET","10/28/2016","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","NL0012015705","BKM1QM4","3,726,650,624","GBP","Analyze"
"LN:WIZZ","Wizz Air Holdings Plc","WIZZ","02/25/2015","Global Equity","Common stocks","Developed markets ex-US","Industrials","JE00BN574F90","BN574F9","3,686,974,464","GBP","Analyze"
"LN:UKW","Greencoat UK Wind PLC","UKW","03/27/2013","Global Equity","Common stocks","Developed markets ex-US","Unknown","GB00B8SC6K54","B8SC6K5","3,657,960,704","GBP","Analyze"
"LN:HICL","HICL Infrastructure Company Limited","HICL","03/29/2006","Global Equity","Common stocks","","Unknown","GB00B0T4LH64","B0T4LH6","3,459,481,856","GBP","Analyze"
"LN:TUI","TUI AG","TUI","12/17/2014","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","DE000TUAG000","B11LJN4","3,394,479,104","GBP","Analyze"
"LN:DLN","Derwent London Plc","DLN","01/10/1986","Global Equity","REITs","Developed markets ex-US","Real Estate","GB0002652740","0265274","3,379,447,296","GBP","Analyze"
"LN:IMI","IMI plc","IMI","01/02/1986","Global Equity","Common stocks","Developed markets ex-US","Industrials","GB00BGLP8L22","BGLP8L2","3,341,930,240","GBP","Analyze"
"LN:DLG","Direct Line Insurance Group plc","DLG","10/11/2012","Global Equity","Common stocks","Developed markets ex-US","Financials","GB00BY9D0Y18","BY9D0Y1","3,299,344,384","GBP","Analyze"
"LN:SIG","Signature Aviation Plc","SIG","12/31/1999","Global Equity","Common stocks","Developed markets ex-US","Industrials","GB00BKDM7X41","BKDM7X4","3,285,370,368","GBP","Analyze"
"LN:SXS","Spectris plc","SXS","11/29/1988","Global Equity","Common stocks","Developed markets ex-US","Information Technology","GB0003308607","0330860","3,272,975,104","GBP","Analyze"
"LN:BBA","BBA Aviation plc","BBA","01/02/1986","Global Equity","Common stocks","Developed markets ex-US","Industrials","GB00B1FP8915","B1FP891","3,256,826,368","GBP","Analyze"
"LN:DRX","Drax Group plc","DRX","12/15/2005","Global Equity","Common stocks","Developed markets ex-US","Utilities","GB00B1VNSX38","B1VNSX3","3,236,983,296","GBP","Analyze"
"LN:HSX","Hiscox Ltd","HSX","07/03/1995","Global Equity","Common stocks","Developed markets ex-US","Financials","BMG4593F1389","BVZHXQ9","3,226,347,520","GBP","Analyze"
"LN:FRAS","Frasers Group plc","FRAS","02/27/2007","Global Equity","Comon stocks","Developed markets ex-US","Consumer Discretionary","GB00B1QH8P22","","3,220,340,992","GBP","Analyze"
"LN:INVP","Investec plc","INVP","07/22/2002","Global Equity","Common stocks","Developed markets ex-US","Financials","GB00B17BBQ50","B17BBQ5","3,193,628,928","GBP","Analyze"
"LN:3IN","3i Infrastructure plc","3IN","03/08/2007","Global Equity","Common stocks","","Unknown","JE00BF5FX167","BYR8GK6","3,106,647,552","GBP","Analyze"
"LN:EMG","Man Group plc","EMG","10/10/1994","Global Equity","Common stocks","Developed markets ex-US","Financials","GB00B83VD954","B83VD95","3,068,153,600","GBP","Analyze"
"LN:DPLM","Diploma PLC","DPLM","01/03/1986","Global Equity","Common stocks","Developed markets ex-US","Industrials","GB0001826634","0182663","3,068,045,824","GBP","Analyze"
"LN:TATE","Tate & Lyle plc","TATE","01/06/1986","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","GB0008754136","0875413","3,030,102,272","GBP","Analyze"
"LN:TRIG","The Renewables Infrastructure Group Limited","TRIG","08/05/2013","Global Equity","Common stocks","Developed markets ex-US","Utilities","GG00BBHX2H91","BBHX2H9","3,023,440,128","GBP","Analyze"
"LN:RMG","Royal Mail plc","RMG","10/11/2013","Global Equity","Common stocks","Developed markets ex-US","Industrials","GB00BDVZYZ77","BDVZYZ7","3,015,832,576","GBP","Analyze"
"LN:SOPH","Sophos Group plc","SOPH","06/26/2015","Global Equity","Common stocks","Developed markets ex-US","Information Technology","GB00BYZFZ918","BYZFZ91","2,990,911,744","GBP","Analyze"
"LN:BEZ","Beazley plc","BEZ","11/12/2002","Global Equity","Common stocks","Developed markets ex-US","Financials","GB00BYQ0JC66","BYQ0JC6","2,892,126,976","GBP","Analyze"
"LN:OMU","Old Mutual Ltd","OMU","06/26/2018","Global Equity","Common stocks","Emerging markets","Financials","ZAE000255360","BDVPYQ8","2,881,632,768","GBP","Analyze"
"LN:BVS","Bovis Homes Group PLC","BVS","12/09/1997","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","GB0001859296","0185929","2,879,472,640","GBP","Analyze"
"LN:WMH","William Hill plc","WMH","06/17/2002","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","GB0031698896","3169889","2,856,400,384","GBP","Analyze"
"LN:BWY","Bellway p.l.c","BWY","01/06/1986","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","GB0000904986","0090498","2,840,062,976","GBP","Analyze"
"LN:PNN","Pennon Group Plc","PNN","12/12/1989","Global Equity","Common stocks","Developed markets ex-US","Utilities","GB00B18V8630","B18V863","2,825,853,440","GBP","Analyze"
"LN:RSW","Renishaw plc","RSW","01/02/1986","Global Equity","Common stocks","Developed markets ex-US","Information Technology","GB0007323586","0732358","2,816,914,944","GBP","Analyze"
"LN:CCC","Computacenter plc","CCC","05/21/1998","Global Equity","Common stocks","Developed markets ex-US","Information Technology","GB00BV9FP302","BV9FP30","2,794,171,648","GBP","Analyze"
"LN:ITV","ITV plc","ITV","01/02/1986","Global Equity","Common stocks","Developed markets ex-US","Communication Services","GB0033986497","3398649","2,791,219,200","GBP","Analyze"
"LN:UDG","UDG Healthcare plc","UDG","04/19/1989","Global Equity","Common stocks","Developed markets ex-US","Health Care","IE0033024807","3302480","2,717,817,856","GBP","Analyze"
"LN:MKS","Marks and Spencer Group plc","MKS","01/02/1986","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","GB0031274896","3127489","2,681,775,104","GBP","Analyze"
