ticker,shortName,sector,industry,recommendationMean,numberOfAnalystOpinions,overallRisk,beta,previousClose,trailingEps,forwardEps,trailingPE,forwardPE,pegRatio,bookValue,priceToBook,enterpriseToRevenue,enterpriseToEbitda,ebitdaMargins,profitMargins,earningsGrowth,revenueGrowth,dividendYield,payoutRatio,fiveYearAvgDividendYield,enterpriseValue,freeCashflow,debtToEquity,returnOnAssets,returnOnEquity,quickRatio,currentRatio
ABM,ABM Industries Incorporated,Industrials,Specialty Business Services,2.1,5,2,1.057499,45.5,2.92,3.87,15.45548,11.661499,3.51,26.955,1.674272,0.557,9.822,0.056750003,0.02466,0.083,0.045,0.0195,0.2842,1.89,4429870592,71537504,85.029,0.043670002,0.11354,1.369,1.526
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,2.6,33,9,1.262202,129.85,3.02,4.2,42.658943,30.673811,1.53,8.017,16.069601,8.235,37.857,0.21753,0.25308,0.762,0.181,,0.0,,74839162880,2829769472,45.938,0.06083,0.44643003,0.775,1.472
ABOS,"Acumen Pharmaceuticals, Inc.",Healthcare,Biotechnology,1.6,7,,-1.232101,7.12,-1.04,-1.3,,-5.2230773,-0.65,4.116,1.6496598,,-4.754,0.0,0.0,,,,0.0,,248075200,-27929000,0.017,-0.16780001,-0.2477,17.009,17.529
ABR,Arbor Realty Trust,Real Estate,REIT—Mortgage,2.7,6,8,1.939037,15.69,1.73,1.86,8.942197,8.317204,0.99,13.055,1.1849866,22.188,,0.0,0.50118,-0.006,0.172,0.1037,0.936,9.55,15614714880,,401.75,0.02261,0.12560001,4.181,4.441
ABSI,Absci Corporation,Healthcare,Biotechnology,2.5,5,9,,1.64,-0.96,-0.75,,-2.1333334,-0.06,2.969,0.538902,,,0.0,0.0,,,,0.0,,147715056,,,,,,
ABT,Abbott Laboratories,Healthcare,Medical Devices,2.0,19,8,0.661932,104.94,3.29,4.62,31.772036,22.625542,-11.48,21.422,4.879563,4.768,19.352,0.24641001,0.1283,-0.316,-0.114,0.0194,0.6689,1.54,191813550080,5708125184,45.418,0.05662,0.13926,0.998,1.638
ABUS,Arbutus Biopharma Corporation,Healthcare,Biotechnology,2.0,5,6,2.101489,1.99,-0.44,-0.49,,-4.142857,,0.807,2.5154896,8.06,-2.585,0.0,0.0,,-0.673,,0.0,,189699024,-42822624,1.517,-0.23783001,-0.50676,6.323,6.474
ABVC,"ABVC Biopharma, Inc.",Healthcare,Biotechnology,3.0,1,,,1.91,-3.7,-0.44,,-4.409091,,0.951,2.039958,,,0.0,0.0,,,,0.0,,6265829,,,,,,
AC,"Associated Capital Group, Inc.",Financial Services,Asset Management,,,10,1.06027,36.11,-0.68,2.59,,13.945946,,41.405,0.8723584,27.289,-29.158,-0.93591005,1.2237201,,-0.064,0.0055,0.241,0.53,407888768,-16009500,,-0.00873,0.01944,25.741,26.05
ACA,"Arcosa, Inc.",Industrials,Engineering & Construction,2.2,5,1,0.582677,78.35,5.78,3.29,13.282006,23.334345,6.41,46.666,1.6450949,1.846,12.73,0.14498,0.12652999,0.062,-0.03,0.0026,0.0344,,4130739712,99237504,25.697,0.030989999,0.13254,1.389,2.317
ACAB,Atlantic Coastal Acquisition Co,Financial Services,Shell Companies,,,,,10.51,0.11,,95.545456,,,-0.311,,,,0.0,0.0,,,,0.0,,114638896,,,,,0.093,0.181
ACABW,Atlantic Coastal Acquisition Co,,,,,,,0.0319,,,,,,,,,,,,,,,,,,,,,,,
ACAC,Acri Capital Acquisition Corpor,Financial Services,Shell Companies,,,,,10.8399,0.1,,108.7,,,-0.664,,,,0.0,0.0,,,,0.0,,63580592,,,,,0.119,0.127
ACACU,Acri Capital Acquisition Corpor,Financial Services,Shell Companies,,,,,10.99,,,,,,-0.664,,,,0.0,0.0,,,,,,64451164,,,,,0.119,0.127
ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,2.4,15,9,0.542777,28.72,-0.9,0.59,,49.576275,0.17,2.423,12.071812,8.119,-35.985,-0.22561,-0.20115,,0.228,,0.0,,4472527360,-4755500,14.865,-0.12691,-0.26681998,2.445,2.621
ACAH,Atlantic Coastal Acquisition Co,Financial Services,Shell Companies,,,,0.023014,10.35,0.26,,39.807693,,,-1.744,,,,0.0,0.0,-0.734,,,0.0,,124340936,501040,,-0.00883,,0.145,0.164
ACAHW,Atlantic Coastal Acquisition Corp. Warrant,,,,,,,0.0071,,,,,,,,,,,,,,,,,,,,,,,
ACAQ,Athena Consumer Acquisition Cor,Financial Services,Shell Companies,,,,,11.04,0.02,,565.0,,,-6.511,,,,0.0,0.0,,,,0.0,,112229000,,,,,0.002,0.045
ACB,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers—Specialty & Generic,2.9,3,4,2.976599,0.523,-5.92,-0.07,,-7.142857,,1.298,0.385208,1.012,-1.585,-0.63843,0.0,,0.499,,0.0,,227814368,-53704500,30.788,-0.09165,-1.0267,1.14,1.981
ACBA,Ace Global Business Acquisition,Financial Services,Shell Companies,,,,,11.35,0.14,,80.64285,,,-0.673,,,,0.0,0.0,,,,0.0,,42783984,,,,,,
ACBAU,Ace Global Business Acquisition,Financial Services,Shell Companies,,,,,11.15,-0.208,,,,,-0.673,,,,0.0,0.0,,,,,,42253448,,,,,,
ACBAW,Ace Global Business Acquisition Limited Warrant,,,,,,,0.0225,,,,,,,,,,,,,,,,,,,,,,,
ACCD,"Accolade, Inc.",Healthcare,Health Information Services,2.0,15,6,1.723193,13.8,-2.07,-1.41,,-9.446809,9.69,6.034,2.207491,2.848,-10.302,-0.27648002,-0.41861,,0.09,,0.0,,1056236160,27944124,69.444,-0.10145,-0.31403,2.92,3.091
ACCO,Acco Brands Corporation,Industrials,Business Equipment & Supplies,2.0,4,1,1.859023,5.46,-0.15,1.34,,4.044776,0.49,8.75,0.6194286,0.852,7.598,0.112110004,-0.01446,-0.325,-0.053,0.054899998,,3.67,1602352128,151562496,140.932,0.031140001,-0.03194,0.952,1.787
ACDC,ProFrac Holding Corp.,Energy,Oil & Gas Equipment & Services,2.1,6,9,,10.37,2.08,2.71,5.0288463,3.8597786,-1.69,8.023,1.3037517,0.969,3.322,0.29174,0.05809,,0.202,,0.0,,2963200000,362051008,96.192,0.12575,0.37763,0.589,0.989
ACDCW,ProFrac Holding Corp. Warrant,,,,,,,0.005,,,,,,,,,,,,,,,,,,,,,,,
ACEL,"Accel Entertainment, Inc.",Consumer Cyclical,Gambling,2.0,3,7,1.566329,11.03,0.75,0.83,14.400001,13.012049,2.83,2.205,4.897959,1.083,7.581,0.14288999,0.048649997,-0.542,0.284,,0.0,,1225012352,33633500,277.464,0.0795,0.30343,2.735,3.029
ACER,Acer Therapeutics Inc.,Healthcare,Biotechnology,2.0,2,,,0.75,-1.78,0.11,,6.5736365,,-0.854,,,,0.0,0.0,,,,0.0,,16936112,,,,,,
ACET,"Adicet Bio, Inc.",Healthcare,Biotechnology,2.0,6,8,1.519938,2.13,-2.09,-3.0,,-0.68666667,-0.02,5.551,0.3711043,,0.771,0.0,0.0,,,,0.0,,-91087080,-66664500,9.471,-0.25258,-0.43264,10.94,11.076
ACGL,Arch Capital Group Ltd.,Financial Services,Insurance—Diversified,1.9,12,5,0.717353,77.36,5.2,7.34,14.798077,10.48365,0.58,37.253,2.0656054,2.5,11.407,0.2192,0.19195999,0.683,0.428,,0.0,,29476321280,1731616000,18.616,0.03119,0.16745001,0.864,1.747
ACGLN,Arch Capital Group Ltd. - Depos,Financial Services,Insurance—Diversified,,,5,0.717353,18.67,4.691,,3.9714346,,,37.253,0.50009394,0.666,3.038,0.2192,0.19195999,0.683,0.428,0.06,,,7851793408,1731616000,18.616,0.03119,0.16745001,0.864,1.747
ACGLO,Arch Capital Group Ltd. - Depos,Financial Services,Insurance—Diversified,,,5,0.717353,22.41,4.691,,4.7900233,,,37.253,0.6031729,0.787,3.589,0.2192,0.19195999,0.683,0.428,0.0608,,5.62,9275622400,1731616000,18.616,0.03119,0.16745001,0.864,1.747
ACGN,"Aceragen, Inc.",Healthcare,Biotechnology,2.0,1,8,1.137859,0.44,-7.42,-2.18,,-0.1972477,,2.701,0.1592003,5.119,-1.647,0.0,0.0,,,,0.0,,37531108,-220625,2.139,-0.26237,-0.98686,0.242,0.316
ACHC,"Acadia Healthcare Company, Inc.",Healthcare,Medical Care Facilities,2.1,12,6,1.32629,76.98,3.11,3.77,24.61415,20.30504,1.86,32.054,2.3881576,3.099,14.432,0.21474001,0.097399995,-0.102,0.122,,0.0,,8608340992,-7575625,50.955,0.05895,0.096099995,1.205,1.338
ACHL,Achilles Therapeutics plc,Healthcare,Biotechnology,1.6,5,,0.946562,0.97,-1.83,-1.38,,-0.68188405,-0.11,4.246,0.22162035,,1.485,0.0,0.0,,,,0.0,,-95365152,-43266624,4.963,-0.18741,-0.34967,8.722,9.165
ACHR,Archer Aviation Inc.,Industrials,Aerospace & Defense,2.0,6,10,2.449778,6.35,-1.62,-1.06,,-5.603774,,1.095,5.4246573,,-2.315,0.0,0.0,,,,0.0,,1112641536,-72812496,7.781,-0.51782,-1.08127,2.585,2.68
ACHV,"Achieve Life Sciences, Inc.",Healthcare,Biotechnology,1.7,7,,,5.19,-3.78,-1.65,,-3.0060606,-0.2,0.464,10.689655,,,0.0,0.0,,,,0.0,,88934592,,,,,,
ACI,"Albertsons Companies, Inc.",Consumer Defensive,Grocery Stores,2.6,15,6,0.374952,21.85,2.15,2.81,10.139534,7.758007,0.99,3.474,6.275187,0.341,6.606,0.051680002,0.01845,-0.144,0.032,0.0222,0.2233,,26762373120,1254200064,726.58,0.05381,0.4314,0.12,0.785
ACIC,,Financial Services,Insurance—Property & Casualty,3.0,,,-0.087287,8.24,,,,,,1.96,4.010204,0.887,-1.014,-0.87501,-0.39765,,-0.113,,0.0,,392246560,-562974656,179.487,-0.12768,-2.46438,0.12,0.894
ACIU,AC Immune SA,Healthcare,Biotechnology,1.3,3,,0.675441,3.0,-0.93,-0.62,,-4.919355,,1.647,1.8518518,42.59,-2.577,0.0,0.0,,,,0.0,,167591648,-38596000,1.815,-0.22377001,-0.38937,8.427,8.89
ACIW,"ACI Worldwide, Inc.",Technology,Software—Infrastructure,1.8,4,1,1.091098,23.51,0.81,1.38,28.691359,16.84058,2.04,10.797,2.1524498,2.559,16.574,0.15441,0.0542,,-0.05,,0.0,,3509715968,133122000,95.379,0.03029,0.06244,0.617,1.315
ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,2.2,4,3,1.709733,169.61,5.78,8.03,28.636679,20.612703,1.24,22.659,7.304824,4.942,21.861,0.22604999,0.20186001,0.409,0.239,,0.0,,5056427520,141473744,10.395,0.14505,0.31038,2.463,3.824
ACLX,"Arcellx, Inc.",Healthcare,Biotechnology,1.4,10,10,,35.91,-4.55,-2.68,,-13.27612,-0.22,4.647,7.6565533,,,0.0,0.0,,,,0.0,,1717948288,,,,,,
ACM,AECOM,Industrials,Engineering & Construction,1.6,10,2,1.296501,87.88,3.03,4.38,28.871288,19.972603,1.86,17.724,4.9356804,1.001,14.997,0.06678,0.0097,,0.13,0.0082,0.4964,,13982809088,495028512,112.006,0.042,0.08889,0.952,1.097
ACMR,"ACM Research, Inc.",Technology,Semiconductor Equipment & Materials,2.1,8,9,1.149636,13.45,0.8,1.21,16.224998,10.727272,0.24,11.538,1.1249783,1.648,8.052,0.20466,0.14484,1.228,0.385,,0.0,,759859840,-133001248,9.71,0.045840003,0.10345,1.107,2.185
ACN,Accenture plc,Technology,Information Technology Services,2.1,21,1,1.2248,307.4,11.21,12.46,27.443356,24.69021,3.07,40.159,7.6605496,2.979,17.475,0.1705,0.11273,0.129,0.025,0.0146,0.3859,1.38,189343662080,8869508096,11.88,0.12674,0.30319,1.236,1.368
ACNB,ACNB Corporation,Financial Services,Banks—Regional,2.5,2,6,0.393834,33.39,4.45,3.72,7.617978,9.112904,,30.016,1.1293976,3.006,,0.0,0.34351003,0.13,0.089,0.0335,0.24069999,3.21,341941152,,,0.01544,0.15501,,
ACNT,Ascent Industries Co.,Basic Materials,Steel,1.0,1,,0.692414,9.05,0.63,1.57,14.587301,5.8535028,-0.75,11.255,0.81652594,0.484,53.445,0.00906,-0.05104,,-0.283,,0.0,,181125024,27587750,77.364,-0.02037,-0.035940003,1.042,4.081
ACON,"Aclarion, Inc.",Healthcare,Health Information Services,2.0,,,,0.525,-0.94,-0.29,,-1.6658621,,0.143,3.3783214,45.701,-0.604,0.0,0.0,,1.822,,0.0,,3513867,-8927941,,-2.0336099,,0.632,0.917
ACONW,,,,,,,,0.0676,,,,,,,,,,,,,,,,,,,,,,,
ACOR,"Acorda Therapeutics, Inc.",Healthcare,Drug Manufacturers—Specialty & Generic,2.0,,7,1.432282,16.7,-40.53,-0.96,,-17.28125,,54.64,0.30362374,1.512,18.536,0.081599995,-0.17889999,,-0.044,,0.0,,176831408,20117624,267.423,-0.0357,-0.26854,1.272,2.136
ACP,Aberdeen Income Credit Strategi,Financial Services,Asset Management,,,,1.002078,6.93,-0.52,,,,,7.034,0.9809497,15.441,,0.0,-0.34649,,0.231,0.1739,,13.63,492178944,26421140,25.841,0.03767,-0.03353,0.243,0.244
ACR,ACRES Commercial Realty Corp.,Real Estate,REIT—Mortgage,2.0,2,6,1.822653,8.85,-0.98,2.09,,4.2822967,0.97,53.641,0.16684999,26.935,,0.0,0.16455,0.245,0.07,,0.0,,1817809024,,403.87,0.0046200003,0.02394,68.532,71.209
ACRE,Ares Commercial Real Estate Cor,Real Estate,REIT—Mortgage,2.3,6,7,1.429511,9.96,0.11,1.05,89.63636,9.390476,9.72,12.77,0.7721221,70.906,,0.0,-0.17448999,,-0.72,0.1365,,10.46,2065991424,,241.641,-0.002,-0.0068800002,91.212,91.212
ACRO,Acropolis Infrastructure Acquis,Financial Services,Shell Companies,,,,,10.19,0.11,,92.63636,,,-0.372,,,,0.0,0.0,,,,0.0,,442620512,901226,,-0.00382,,0.023,0.064
ACRS,"Aclaris Therapeutics, Inc.",Healthcare,Diagnostics & Research,1.4,8,8,0.604433,7.77,-1.33,-1.86,,-4.1505375,-0.06,2.54,3.03937,13.882,,0.0,0.0,,0.223,,0.0,,432660384,-38853752,1.313,-0.25476998,-0.50693,5.265,5.823
ACRV,"Acrivon Therapeutics, Inc.",Healthcare,Biotechnology,1.6,6,10,,11.72,-1.64,-3.52,,-3.1988637,,6.76,1.6656804,,-2.088,0.0,0.0,,,,0.0,,102188032,-20479624,3.084,-0.24227,-0.38105,21.513,21.844
ACRX,"AcelRx Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers—Specialty & Generic,3.0,1,,,0.77,6.36,-2.0,0.12657233,-0.4025,,2.646,0.3042328,4.343,-0.295,0.0,0.0,,-0.556,,0.0,,8789354,,23.655,,,,
ACST,"Acasti Pharma, Inc.",Healthcare,Biotechnology,1.0,1,,,2.25,-5.72,-0.41,,-5.2439027,,8.609,0.24973865,,0.337,0.0,0.0,,,,0.0,,-5554729,-8799375,0.125,-0.10385,-0.49792,11.437,12.01
ACT,"Enact Holdings, Inc.",Financial Services,Insurance—Specialty,2.5,7,4,,29.26,4.38,3.63,6.5022826,7.84573,38.3,27.309,1.0428796,4.26,,0.0,0.61132,-0.168,0.015,0.0219,0.13939999,,4730281984,430137248,17.005,0.09851,0.16054001,1.122,1.179
ACTG,Acacia Research Corporation,Industrials,Business Equipment & Supplies,,1,1,0.40665,3.77,-1.57,0.58,,6.482759,,5.521,0.68103606,0.784,-1.184,-0.66222,0.00719,,-0.527,,0.0,,40536572,-29191876,16.873,-0.05446,0.0014200001,5.797,6.244
ACU,Acme,Consumer Defensive,Household & Personal Products,1.0,1,,0.889158,31.6,1.1,2.51,29.481817,12.920319,1.29,23.445,1.3832374,0.858,12.45,0.06895,0.0202,0.352,-0.061,0.0173,0.5091,1.98,165713440,13609642,63.841,0.03078,0.0477,1.709,4.095
ACV,568516,Financial Services,Asset Management,3.0,7,,,19.75,-3.67,,,,,,,,,0.0,0.0,,,0.1083,,13.53,,,,,,,
ACVA,ACV Auctions Inc.,Consumer Cyclical,Auto & Truck Dealerships,1.8,12,9,1.350523,15.58,-0.56,-0.19,,-79.789474,-37.9,2.97,5.104377,4.738,-25.306,-0.18722999,-0.18326999,,0.079,,0.0,,2118977920,-3662125,24.088,-0.06122,-0.16528,2.154,2.182
ACXP,"Acurx Pharmaceuticals, Inc.",Healthcare,Biotechnology,2.0,3,,,1.6,-1.0,-0.88,,-1.9659091,,0.478,3.619247,,,0.0,0.0,,,,0.0,,13353036,-2344135,,-0.88877,-1.75316,3.029,3.059
ADAG,Adagene Inc.,Healthcare,Biotechnology,2.0,5,,0.201751,1.33,-1.8,-1.7,,-0.7764706,,1.933,0.6828764,-6.307,0.711,0.0,0.0,,-0.391,,0.0,,-58611272,-19613868,33.664,-0.30681,-0.66740996,2.621,2.711
ADAP,Adaptimmune Therapeutics plc,Healthcare,Biotechnology,2.5,7,,2.214755,0.78,-0.67,-0.64,,-1.21375,-1.94,0.562,1.3822064,-0.028,0.019,-1.4481399,-1.28627,,-0.074,,0.0,,-1950847,-59420500,20.799,-0.18715,-0.67785,3.227,3.439
ADBE,Adobe Inc.,Technology,Software—Infrastructure,2.1,28,2,1.338067,518.7,10.51,17.78,48.952423,28.936443,2.32,32.539,15.811487,12.59,34.0,0.37028998,0.26339,0.133,0.098,,0.0,,232016543744,6928124928,27.719,0.14306,0.33681,1.033,1.157
ADC,Agree Realty Corporation,Real Estate,REIT—Retail,1.6,13,4,0.463456,61.58,1.79,2.59,34.469276,23.822395,10.89,49.983,1.2344197,17.48,19.869,0.87977,0.33705002,-0.071,0.239,0.0458,1.6313001,3.71,8444834304,314745824,43.535,0.02207,0.036510002,0.843,0.886
ADCT,ADC Therapeutics SA,Healthcare,Biotechnology,2.4,6,,0.978773,1.6,-2.28,-1.87,,-0.7754011,-0.04,-0.105,,1.086,-1.927,-0.56345004,-0.98326,,0.115,,0.0,,200246128,-72993752,,-0.12769,-3.39665,4.609,5.123
ADD,"Color Star Technology Co., Ltd.",Communication Services,Entertainment,,,,2.121233,1.23,-99.27,,,,,4.499,0.27117136,1.574,-0.132,0.0,0.0,,,,0.0,,11157132,-62974056,1.579,-0.75408,-1.25021,0.415,5.363
ADEA,Adeia Inc.,Technology,Software—Application,1.7,3,4,0.90232,10.11,1.02,1.4,9.95098,7.25,0.5,3.03,3.349835,4.157,6.536,0.63594,-0.72436994,,-0.228,0.0197,0.22469999,2.95,1634070400,252027248,196.2,0.045560002,0.116510004,2.206,2.327
ADER,26 Capital Acquisition Corp.,Financial Services,Shell Companies,,,,,11.26,0.09,,125.33333,,,-2.008,,,,0.0,0.0,,,,0.0,,116242968,,,,,,
ADES,"Advanced Emissions Solutions, I",Industrials,Pollution & Treatment Controls,2.0,1,5,,1.92,-0.66,-0.04,,-50.0,-0.06,5.366,0.37271708,,-1.885,0.0,0.0,,-0.174,,0.0,,40514468,,18.765,,,0.071,0.074
ADEX,Adit EdTech Acquisition Corp.,Financial Services,Shell Companies,,,,,10.6,0.0,,Infinity,,,-1.326,,,,0.0,0.0,,,,0.0,,99294672,,,,,,
